1984,George Orwell,Language and Communication;!Philosophical Viewpoints;!Power;!Warfare;!Violence;!Technology and Modernization;!Manipulation;!Repression;!Loyalty;!Rebellion;!Memory and the Past
20000 Leagues Under the Sea,Jules Verne,Exile;!Hate;!Revenge;!Identity;!Justice;!Exploration;!Freedom and Confinement;!Man and the Natural World;!Technology and Modernization
2001: A Space Odyssey,Arthur C. Clarke,Awe and Amazement;!Dreams, Hopes, and Plans;!Isolation;!Mortality;!Strength and Skill;!Technology and Modernization;!Time;!Women and Femininity
The 5th Wave,Rick Yancey,The Other;!Manipulation;!Perseverance;!Mortality;!Change;!Madness;!Warfare;!Identity
A Little Less Girl,Tess Oliver,Appearances;!Arts and Culture;!Coming of Age;!Community;!Guilt and Blame;!Home;!Love;!Mortality
A&P,John Updike,Appearances;!Power;!Principles;!Gender;!Society and Class
Absalom, Absalom!,William Faulkner,Family;!The Home;!Time;!Ambition;!Dreams, Hopes, and Plans;!Memory and the Past;!Race;!Society and Class;!Contrasting Regions: The South
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,Identity;!Home;!Race;!Poverty;!Literature and Writing;!Mortality;!Friendship;!Hopes, Dreams, and Plans;!Education;!Tradition and Custom
An Abundance of Katherines,John Green,Individuality;!Love;!Memory and the Past;!Life, Consciousness, and Existence;!Coming of Age;!Happiness;!Wisdom and Knowledge;!Dreams, Hopes, and Plans
Across Five Aprils,Irene Hunt,Warfare;!Family;!Dreams, Hopes, and Plans;!Coming of Age;!Mortality;!Time;!Men and Masculinity;!Admiration
Adam Bede,George Eliot,Love;!Criminality;!Society and Class;!Dreams, Hopes, and Plans;!Family;!Compassion and Forgiveness;!Education;!Transformation;!Religion
The Adventures of Augie March,Saul Bellow,Criminality;!Family;!Love;!Ambition;!Identity;!Fate and Freewill;!Dreams, Hopes, Plans;!Poverty;!Society and Class;!Religion
Adventures of Huckleberry Finn,Mark Twain,Race;!Morality and Ethics;!Rules and Order;!Lies and Deceit;!Religion;!Friendship;!Man and the Natural World;!Family;!Youth;!Foolishness and Folly;!The Supernatural;!Drugs and Alcohol
The Adventures of Sherlock Holmes,Sir Arthur Conan Doyle,Cunning and Cleverness;!Justice and Judgment;!Foreignness and 'The Other';!Admiration;!Drugs and Alcohol;!Women and Femininity;!Society and Class;!Literature and Writing;!Weakness;!Appearances;!Respect and Reputation;!Contrasting Regions: London and the Countryside;!Technology and Modernization
The Adventures of Tom Sawyer,Mark Twain,Youth;!Hopes, Plans, and Dreams;!Visions of America;!Manipulation;!The Supernatural;!Language and Communication;!Race;!Religion
The Aeneid,Virgil,Fate and Free Will;!Power;!Love;!Warfare;!Duty;!Mortality;!Religion;!Memory and The Past;!Family;!Primitiveness
Agamemnon,Aeschylus,Justice and Judgment;!Fate and Free Will;!Revenge;!Wisdom and Knowledge;!Family;!Politics;!Fear;!Lies and Deceit;!Gender;!Memory and The Past
The Age of Innocence,Edith Wharton,Society and Class;!Family;!Love;!Dissatisfaction;!Gender;!Dreams, Hopes, and Plans;!Duty;!Contrasting Regions: United States and Europe
Age of Iron,J.M. Coetzee,Mortality;!Suffering;!Literature and Writing;!Rules and Order;!Race;!Hate;!Violence;!Principles;!Family;!The Home
Airborn,Kenneth Oppel,Daddy Issues;!Dreams, Hopes, and Plans;!Society and Class;!Ambition/Perserverance;!Women and Femininity;!Jealousy;!The Home;!Exploration
Al Capone Does My Shirts,Gennifer Choldenko,Family;!Love;!Duty;!Guilt and Blame;!Friendship;!Rules and Order;!Exploration;!Honesty
Alanna: The First Adventure,Tamora Pierce,Friendship;!Society and Class;!Gender;!Principles;!The Supernatural;!Perseverance;!Family;!Coming of Age
The Alchemist,Ben Jonson,Transformation;!Religion;!Art and Culture
The Alchemist,Paulo Coelho,Language and Communication;!Love;!Warfare;!Fate and Free Will;!Fear;!Dreams, Hopes, and Plans;!Humanity and the Natural World;!Wisdom and Knowledge
Alex Cross's Trial,James Patterson and Richard DiLallo,Race;!Truth;!Change;!Violence;!Justice and Judgment;!Betrayal;!Religion;!Passivity
Alexander and the Terrible, Horrible, No Good, Very Bad Day,Judith Viorst,Isolation;!Youth;!Dissatisfaction and Injustice
Alice's Adventures in Wonderland and Through the Looking-Glass,Lewis Carroll,Exploration;!Identity;!Language and Communication;!Youth;!Education;!Philosophical Viewpoints: The Absurd;!Violence;!Contrasting Regions;!Madness;!Freedom and Confinement
All My Sons,Arthur Miller,Guilt and Blame;!Wealth;!Justice and Judgment;!Lies and Deceit;!Morality and Ethics;!Memory and the Past;!Family;!Courage
All Quiet on the Western Front,Erich Maria Remarque,Identity;!Dreams, Hopes, and Plans;!Warfare;!Sacrifice;!Patriotism;!Revenge;!Mortality;!Innocence;!Home;!Primitiveness
All the Bright Places,Jennifer Niven,Mental Illness;!Family;!Guilt and Blame;!Identity;!Mortality;!Dreams, Hopes, and Plans;!Change;!Exploration
All the King's Men,Robert Penn Warren,Visions of America;!Politics;!Memory and the Past;!Transformation;!Education;!Slavery;!Love;!Race;!Religion;!Drugs and Alcohol
All the Pretty Horses,Cormac McCarthy,Man and the Natural World;!Fate and Free Will;!Gender;!Revenge;!Death;!Tradition and Customs;!Exile;!Visions of Mexico
All's Well That Ends Well,William Shakespeare,Gender;!Sex;!Society and Class;!Marriage;!Death;!Family;!Old Age and Youth;!Lies and Deceit
Alligator Bayou,Donna Jo Napoli,Prejudice;!Food;!Respect and Reputation;!Language and Communication;!Religion;!Contrasting Regions;!Foolishness and Folly;!Man and the Natural World
The Ambassadors,Henry James,Admiration;!Language and Communication;!Family;!Dissatisfaction;!Appearances;!Duty;!Visions of Paris;!Old Age
American Born Chinese,Gene Luen Yang,Betrayal;!Friendship;!Lies and Deceit;!Violence;!Appearances;!Humility;!Coming of Age;!Transformation;!Foreigness and "The Other";!Versions of Reality
An American Dream,Norman Mailer,Society and Class;!Mortality;!The Supernatural;!Lies and Deceit;!Violence;!Gender;!Dissatisfaction;!Lust
American Pastoral,Philip Roth,Visions of America;!Language and Communication;!Family;!Warfare;!Politics;!Memory and the Past;!Appearances;!Guilt and Blame;!Religion;!Literature and Writing
The American,Henry James,Appearances;!Pride;!Betrayal;!Revenge;!Suffering;!Ambition;!Identity;!Choices
Among the Hidden,Margaret Peterson Haddix,Government Power: Totalitarian;!Freedom and Confinement;!Class;!Identity;!Rules and Order;!Poverty;!Family;!Lies and Deceit
And Then There Were None,Agatha Christie,Isolation;!Lies and Deceit;!Guilt and Blame;!Good vs. Evil;!Memory and the Past;!Mortality;!Respect and Reputation;!Justice and Judgment;!Community;!Criminality
Andersen's Fairy Tales,Andersen, Hans Christian,Society and Class;!Love;!Art and Culture;!Memory and The Past;!Foreignness and "The Other";!Appearances;!Visions of Denmark;!Religion;!Sin
Maximum Ride: The Angel Experiment,James Patterson,Family;!Lies and Deceit;!Violence;!Foreignness and 'The Other';!Freedom and Confinement;!Fate and Free Will;!Courage;!Truth
Angela's Ashes,Frank McCourt,Society and Class;!Poverty;!Perseverance;!Patriotism and Nationalism;!Religion;!Education;!Drugs and Alcohol;!Coming of Age;!Men and Masculinity
Angels in America, Part One: Millennium Approaches,Tony Kushner,Visions of America: The Reagan Era;!Politics;!Justice and Judgment;!Sexuality and Sexual Identity;!Isolation;!Spirituality;!Betrayal;!Versions of Reality
Angels in America, Part Two: Perestroika,Tony Kushner,Philosophical Viewpoints: Progressivism;!Visions of America: The Reagan Era;!Politics;!Sexuality and Sexual Identity;!Isolation;!Spirituality;!Abandonment;!Versions of Reality
Angus, Thongs and Full-Frontal Snogging,Louise Rennison,Family;!Friendship;!Jealousy;!Love;!Dissatisfaction;!Appearances;!Sexuality and Sexual Identity;!Gender
Animal Farm,George Orwell,Power: Leadership and Corruption;!Power: Control over the Intellectually Inferior;!Lies and Deceit;!Rules and Order;!Foolishness and Folly;!Dreams, Hopes, and Plans;!Cunning and Cleverness;!Violence;!Pride;!Religion
Anna Karenina,Leo Tolstoy,Love;!Society and Class;!Compassion and Forgiveness;!Gender;!Family;!Isolation;!Life, Creation, and Existence;!Jealousy;!Man and the Natural World;!Religion;!Language and Communication
Anne of Green Gables,L.M. Montgomery,Friendship;!The Home;!Appearances;!Man and the Natural World;!Religion;!Awe and Amazement;!Coming of Age;!Duty
