Mary McGarry Morris,earth and sky of jacques dorme  the 
Hugh Miles,al-jazeera: the inside story of the arab news channel that is challenging the west 
Charles Johnson,dr king's refrigerator and other bedtime stories 
Martha Stout,sociopath next door  the 
Masha Gessen,ester and ruzya 
Adam Mansbach,angry black white boy: or  the miscegenation of macon detornay 
Kevin Guilfoile,cast of shadows 
Peter Lefcourt,manhattan beach project  the 
Julian Fellowes,snobs 
Frieda Arkin,hedwig and berti 
Elizabeth Gaffney,metropolis 
Jeannette Walls,glass castle  the: a memoir 
All Flow Robert B Parker,rules of engagement
Alexander Mccall Smith,at the villa of reduced circumstances 
James Hamilton,life of discovery  a: michael faraday  giant of the scientific revolution 
Max Weber,protestant ethic and the spirit of capitalism  the 
Darcey Steinke,milk 
Susan Shapiro,lighting up: how i stopped smoking  drinking and everything else i loved in life except sex 
Robert F Drinan,can god and caesar coexist? balancing religious freedom and international law 
Lauren Henderson,jane austen's guide to dating 
Azadeh Moaveni,lipstick jihad 
Phyllis Diller,like a lampshade in a whorehouse: my life in comedy 
Pablo Medina,cigar roller  the 
Kevin Young,black maria: being the adventures of delilah redbone and a. k. a. jones 
Steve Bogira,courtroom 302: a year behind the scenes in an american criminal courthouse 
James Fenton,wordsworth: a life 
Marina Lewycka,snow white and russian red 
Buzz Bissinger,three nights in august: strategy  heartbreak  and joy inside the mind of a manager 
Sue Miller,lost in the forest 
Albert Einstein,elegant universe  the 
Jeanette Winterson,lighthousekeeping 
Franz Kafka,k. 
Anthony Holden,wit in the dungeon  the 
Nicole Krauss,history of love  the 
Sybille Bedford,quicksands: a memoir 
Christina Hoff Sommers,one nation under therapy: how the helping culture is eroding self-reliance 
Roger Cohen,soldiers and slaves: american pows trapped by the nazis' final gamble 
Orson Welles,despite the system: orson welles versus the hollywood studios 
Rebecca Goldstein,incompleteness: the proof and paradox of kurt gÌ¦del 
Frank Deford,old ball game  the: how john mcgraw  christy mathewson  and the new york giants created modern baseball 
Anne Lamott,plan b: further thoughts on faith 
Thomas L Friedman,world is flat  the: a brief history of the twenty-first century 
Ian Mcewan,saturday 
Amitava Kumar,husband of a fanatic: a personal journey through india  pakistan  love  and hate 
Steve Stern,angel of forgetfulness  the 
Jennie Erdal,ghosting 
Linda Ferri,enchantments 
John Edgar Wideman,god's gym 
Robert S Boynton,new new journalism  the 
Patricia O'Toole,when trumpets call 
Sharon Waxman,rebels on the backlot: six maverick directors 
Peter Bogdanovich,who the hell's in it: portraits and conversations 
Kurt Eichenwald,conspiracy of fools: a true story 
